SUS,SLA,30
SLA,GOL,70
ENT,GOL,40
GOL,USC,30
GOL,ENG,30
USC,SIH,10
USC,GVP,50
GVE,GVD,20
GVC,GVD,21
GVD,GVP,30
GVP,CRS,15
CRS,HLC,25
HLC,COL,15
COL,ROS,19
COL,LOW,54
LOW,GOS,35
ENG,INS,25
INS,CBT,15
CBT,CAR,25
CAR,SAN,20
SAN,VIG,10
VIG,GAN,31
GAN,BLC,67
ENG,GLE,17
GLE,ORN,20
GLE,GOS,50
GOS,WAL,23
WAL,LBR,22
LBR,BOO,23
BOO,UNI,11
UNI,VIG,12
WAL,MON,83
MON,EAS,33
MON,POL,110
MON,SAU,16
SAU,CPC,13
CPC,SMT,9
CPC,CLK,18
CLK,RIA,24
CLK,HAC,34
HAC,GOR,12
GOR,RSC,90
RSC,CSD,29
CSD,LBJ,38
HAC,AUG,11
AUG,GWH,100
GWH,FMS,850
